topic_dummy,absa_ai_score,absa_human_score,admiration,gratitude,love,sadness,grief,nervousness
topic_Outlier/Mixed,0.046975232035019444,-0.024026569607996175,0.008524783331757884,-0.04305482136689521,0.03479083932525212,0.029210470484126026,0.025586378031897897,0.04352121893636257
topic_Topic 105,,,-0.015903490553020993,-0.012935441302084504,-0.005470370897294981,-0.008944328057826112,-0.010010861357584201,-0.00580621243583806
topic_Topic 117,,,-0.015366403199776309,-0.012366369295588443,-0.0095079822689902,-0.008313314666283992,-0.00926918749656094,-0.005534555090809557
topic_Topic 121,,,-0.01499503674587716,-0.012136742273168096,-0.0009945732133627525,-0.008185042184867125,-0.008406877624371804,-0.005294856398908041
topic_Topic 184,,,-0.012890878782428996,-0.010538862425519378,-0.005665187986739442,-0.007043204692380093,-0.007208384710647797,-0.0046655868047534976
topic_Topic 193,,,-0.012501367592484623,-0.01009495618253171,-0.007728654661314664,-0.006656882338631655,-0.0072233814415532125,-0.004300726656168439
topic_Topic 308,,,-0.009305306543506147,-0.007693662151533857,0.002282066543266913,-0.0052666611305428246,-0.0051405530889839235,-0.003230254948460232
topic_Topic 330,,,-0.009244984161354055,-0.007449546161411022,-0.004973530847022532,-0.004585898233011118,-0.005313335640215016,-0.00333692358341057
topic_Topic 51,,,-0.019888952859159495,-0.016257869705645318,-0.012634387621827715,-0.010271622730437123,-0.011682423495828863,-0.00707708054994639
topic_Topic 53,,0.033249874978967586,-0.018723762858015577,-0.016087642341671714,-0.008788862968114129,-0.011128063997116463,-0.011150103169305476,-0.006957528189249444
topic_Topic 67,,,-0.018603892995060316,-0.015194891900189213,-0.007205967225876848,-0.009984385077495115,-0.010655844368048216,-0.006573069536907261
topic_Topic 69,,,-0.018786682159629198,-0.015080008507147136,-0.011176596603815009,-0.005266722216047829,-0.009817850333287978,-0.0066980308501289965
topic_Topic 70,,,-0.01836540638253473,-0.014873561150135408,0.0005605579443870562,-0.010190437769080874,-0.010745254999307324,-0.006622965983482588
topic_Topic 71,,,-0.01803419022653971,-0.01477187571326574,-0.011172889096655467,-0.01039542316197484,-0.01118353196296804,-0.006320356738359247
topic_Topic 72,,,-0.01822347479184792,-0.014752584455248328,-0.010796521074086084,-0.008415710868382331,-0.008274569398391206,-0.006080425381833375
topic_Topic 74,,,-0.018211955533607247,-0.011666852506084199,-0.010335445050676179,-0.009426245702475045,-0.009872738481431963,-0.0064256300208355675
topic_Topic 77,0.018241816805681987,,-0.0177462222118957,-0.014444848928133155,-0.009821625772924685,-0.0027440683764796293,-0.008250140237762642,-0.006204263449749955
topic_Topic 79,-0.030984541227114734,,-0.01778128801346814,-0.014293463865226452,-0.013054531654197617,-0.009705661975029999,-0.010377608733568147,-0.006306303178011726
topic_Topic 80,,,-0.01745828629238692,-0.014094597293382029,-0.008246838063109486,-0.009578192762018935,-0.010301605763276036,-0.006247514791307121
topic_Topic 90,,,-0.016963032378030967,-0.013780926095713023,-0.011216135120377793,-0.00921841068838397,-0.010191446804402999,-0.006095145646581151
topic_academia / companionship / cats,0.018241816805682015,,-0.005355459782294525,-0.0012895918154329543,4.343582308832715e-05,0.001987472468729136,-0.002661513494862393,-0.0012733242865333302
topic_account / email / address,-0.043830021442112406,,-0.016181535032844363,0.0015405311935731973,-0.013105470079687551,0.0008387781096201334,-0.0003256319335352132,0.012536539150652658
topic_actors / movies / theater,0.018241816805682015,,-0.007133802726807333,-0.007087638914841501,0.0014815881248249302,-0.0020824712418080174,-0.003860154089254381,-0.0026024950040212697
topic_addiction / strange / watch,,,-0.008412011898662499,-0.007749963302513855,-0.00772170714591278,-0.005334381516647404,-0.00564230283498917,-0.0025580929210263087
topic_adorable / cute cute / cute,,,0.1102214300908971,-0.010306976913849082,0.008007908739882465,-0.00786191049485003,-0.009524638066946986,-0.005181752886140863
topic_ads / quite literally / users,-0.043830021442112385,,-0.01220019036168903,-0.010250186527916883,-0.010127955257747368,-0.007586605568968312,-0.009279100279019261,-0.004621437651197968
topic_adult / adult mode / mode,-0.012752558036597677,,-0.019470593153865227,-0.014262677611724846,-0.014834785422463834,-0.003543168813704023,-0.00745002807303389,-0.004401983950666981
topic_aesthetic / style / colors,,0.0332498749789676,0.030467743802733975,-0.0036726558708535728,0.09604242242073088,-0.0067870825180785565,-0.007730642921714149,-0.004301029685382125
topic_age / verification / verified,,,-0.010991123011022064,-0.006484574561613219,-0.010728755041430548,-0.005576552951305431,-0.0032344178481384864,0.0026740205575349132
topic_agents / agent / agentic,-0.009012782866921561,,-0.002650782555974487,-0.011279254197628702,-0.008745439279152585,-0.008689454480382988,-0.00864641360612724,-0.0012932066406498228
topic_agree / agreed / fully agree,0.018241816805682015,,-0.010802117757338392,-0.010208234006771587,-0.00962364801996601,-0.007716093403066865,-0.008203315020322857,-0.004365897078028116
topic_ais / location / consciousness,-0.030984541227114765,-0.05020864655458559,-0.008217832751088873,-0.009460258922280843,0.0006121560707205517,-0.0017780910999291848,-0.005046884104688826,-0.002812974913835392
